module,A module is a file containing Python definitions and statements. The file name is the module name with the suffix .py appended.,source: docs.python.org/3/tutorial/modules.html
parameter,A named entity in a function (or method) definition that specifies an argument (or in some cases arguments) that the function can accept.,source: docs.python.org/3/glossary.html
variable,A variable is something that holds a value that may change. In simplest terms a variable is just a box that you can put stuff in. ,source: en.wikibooks.org/wiki/Python_Programming/Variables_and_Strings
function,A function is a block of organized reusable code that is used to perform a single related action. Functions provide better modularity for your application and a high degree of code reusing.,source: www.tutorialspoint.com/python/python_functions.htm
ASCII, abbreviated from American Standard Code for Information Interchange is a character encoding standard (the Internet Assigned Numbers Authority (IANA) prefers the name US-ASCII). ASCII codes represent text in computers telecommunications equipment and other devices. Most modern character-encoding schemes are based on ASCII although they support many additional characters.,source:https://en.wikipedia.org/wiki/ASCII
tuple,Tuples are just like lists but you can't change their values. The values that you give it first up are the values that you are stuck with for the rest of the program. Again each value is numbered starting from zero for easy reference.,source: sthurlow.com/python/lesson06/
argument,An argument is simply a value provided to a function when you call it,source: stackoverflow.com/questions/14924825/what-are-arguments-in-python
dictionary,In a dictionary you have an 'index' of words and for each of them a definition. In python the word is called a 'key' and the definition a 'value'. The values in a dictionary aren't numbered - tare similar to what their name suggests - a dictionary. In a dictionary you have an 'index' of words and for each of them a definition. In python the word is called a 'key' and the definition a 'value'. The values in a dictionary aren't numbered - they aren't in any specific order either - the key does the same thing. You can add remove and modify the values in dictionaries.,source: sthurlow.com/python/lesson06/
